id,razon_social,nombre_fantasia,cuit,codigo_interno,legacy_id_bas,whatsapp_empresa,web_portal_pagos,datos_acceso_pagos,observaciones,condicion_iva_id,lista_precios_id,segmento_id,vendedor_id,saldo_actual,activo,requiere_auditoria,contador_uso,created_at,updated_at,historial_cache,estrategia_precio
bff8260e331b4aedac9ea5789f1375a8,SANATORIO ARGENTINO SRL,,30629363765,,,,,,,,,,,0,1,0,0,2025-12-12 18:28:42.729283,2025-12-12 18:28:42.729283,,MAYORISTA_FISCAL
a9f05e867b98474ca41a016f371e46da,JOHN MARTIN,,30609322469,,,,,,,,,,,0,1,0,0,2025-12-12 18:28:42.729283,2025-12-12 18:28:42.729283,,MAYORISTA_FISCAL
40a8aa0d8cfc460b905159ae201ef062,LUVIANKA,,30666651582,,,,,,,,,,,0,1,0,0,2025-12-12 18:28:42.729283,2025-12-12 18:28:42.729283,,MAYORISTA_FISCAL
a503c0c4c9194c66baec60bfca07c0b4,BIOTENK,,30611306632,,,,,,,,,,,0,1,0,0,2025-12-12 18:28:42.729283,2025-12-12 18:28:42.729283,,MAYORISTA_FISCAL
cde182452d32487f87527e6ccf8c88d1,IMPLANSUR,,30708892714,,,,,,,,,,,0,1,0,0,2025-12-12 18:28:42.729283,2025-12-12 18:28:42.729283,,MAYORISTA_FISCAL
bb48905027a9465697e369c8cd45061b,SALUD PRIVADA SRL CHACO,,00000000000,,,,,,,,,,,0,1,0,0,2025-12-12 18:28:42.729283,2025-12-12 18:28:42.729283,,MAYORISTA_FISCAL
1ef24e752cfb413d9ab163c028e7a220,GREGORIO CARRERAS,,00000000000,,,,,,,,,,,0,1,0,0,2025-12-12 18:28:42.729283,2025-12-12 18:28:42.729283,,MAYORISTA_FISCAL
b7bc1d1731054049b566dfde7411f9c3,ROCHE,,"305227444280,",,,,,,,,,,,0,1,0,0,2025-12-12 18:28:42.729283,2025-12-12 18:28:42.729283,,MAYORISTA_FISCAL
958f2fc54d1243b4ba463974688260be,GÉNESIS BAG,,00000000000,,,,,,,,,,,0,1,0,0,2025-12-12 18:28:42.729283,2025-12-12 18:28:42.729283,,MAYORISTA_FISCAL
10130afff1ea47648b0dccfea5c4e95b,CENTRO MÉDICO NOGOYÁ,,30581069037,,,,,,,,,,,0,1,0,0,2025-12-12 18:28:42.729283,2025-12-12 18:28:42.729283,,MAYORISTA_FISCAL
887ec05bf81c40d9a4ac989a793532d5,QUIMICA FENIX,,30714696153,,,,,,,,,,,0,1,0,0,2025-12-12 18:28:42.729283,2025-12-12 18:28:42.729283,,MAYORISTA_FISCAL
7faa2a2098684708915ea70b71a01222,PANALAB SA ARGENTINA,,30613755124,,,,,,,,,,,0,1,0,0,2025-12-12 18:28:42.729283,2025-12-12 18:28:42.729283,,MAYORISTA_FISCAL
147650100a7e4986ad75b76bc7a7a72d,MATÍAS BORDA,,00000000000,,,,,,,,,,,0,1,0,0,2025-12-12 18:28:42.729283,2025-12-12 18:28:42.729283,,MAYORISTA_FISCAL
e76ce8d45cf941809a15f8465505b8d0,JOMAX,,00000000000,,,,,,,,,,,0,1,0,0,2025-12-12 18:28:42.729283,2025-12-12 18:28:42.729283,,MAYORISTA_FISCAL
0a95586165e3482e9fff403e775ea5fc,ROSA,,30606110975,,,,,,,,,,,0,1,0,0,2025-12-12 18:28:42.729283,2025-12-12 18:28:42.729283,,MAYORISTA_FISCAL
